country,year,real_gdp_cap,instability_idx,population,gender_inequality_index,tot_rainfall_yr,ave_temp,conflict_death_rate,food_CPI_inflation,corruption_percention_idx,lpi_timeliness,lpi_logs_competence_quality,domestic_agricultural_production_primary_crops,domestic_agricultural_export_primary_crops,domestic_agricultural_import_primary_crops,gfsi_affordability_idx,gfsi_availability_idx
DR CONGO,2012,427.848,-2.09,70997870,0.65,1504.95,24.19,0.04,7.4,21,2.38,2.17,46789.68719,88.44,2794.16,36,27.3
DR CONGO,2013,481.137,-2.19,73460021,0.646,1536.18,24.3,0.92,0.7,22,2.21,2.01,49080.62733,92.21,3159.83,40.9,33.2
DR CONGO,2014,512.244,-2.17,76035588,0.634,1506.28,24.24,0.23,1.4,22,2.04,1.84,51563.7285,58.29,4413.02,40.4,34
DR CONGO,2015,519.68,-2.15,78656904,0.637,1520.28,24.33,0,0.8,22,2.49,2.09,51904.76193,50.52,4143.03,41.2,32.1
DR CONGO,2016,477.259,-2.23,81430977,0.633,1545.54,24.54,1.28,3,21,2.94,2.33,52514.06515,57.36,3433.27,39,46.4
DR CONGO,2017,478.789,-2.3,84283273,0.63,1563.71,24.41,0.4,3,21,2.21,2.41,55168.04369,89.37,4273.28,28.7,47.3
DR CONGO,2018,564.342,-2.11,87087355,0.628,1550.29,24.32,0.25,3,20,2.69,2.49,56541.73046,62.18,4624.65,46,42.1
DR CONGO,2019,578.891,-1.59,89906890,0.61,1556.15,24.37,0,11.9,18,2.72,2.47,57980.8044,113.11,5241.7,46.5,41.1
DR CONGO,2020,536.45,-1.74,92853164,0.602,1556.45,24.48,0,11.9,18,2.75,2.45,61013.04357,143.11,3961.7,46.3,41.1
DR CONGO,2021,611.493,-1.61,95894118,0.601,1542.82,24.46,0,11.9,19,2.77,2.42,64153.00457,186.11,3905.7,46.9,40.6
ANGOLA,2012,5083.827,-0.39,25188292,0.545,1070.27,21.53,0.03,12.8,22,2.59,2,17677.65715,66.16,7722.33,46.3,38.3
ANGOLA,2013,5228.511,-0.39,26147002,0.54,1034.71,21.58,0.02,10.4,23,2.81,2.16,25925.19679,63.53,8511.21,49.2,35.4
ANGOLA,2014,5371.217,-0.33,27128337,0.531,1059.87,21.57,0,7,19,3.02,2.31,18739.25802,142.97,11664.84,50.3,32.8
ANGOLA,2015,4130.93,-0.5,28127721,0.53,1004.47,21.71,0,9.3,15,2.81,2.31,19179.52884,194.27,8721.14,50.7,28.4
ANGOLA,2016,3468.518,-0.32,29154746,0.529,1028.79,21.99,0.13,21.2,18,2.59,2.31,19822.44675,409.08,7513.57,35.8,32.9
ANGOLA,2017,4039.3,-0.38,30208628,0.538,1070.95,21.88,0.1,41,19,2.59,2.16,20147.81218,418.15,9198.57,36,30.3
ANGOLA,2018,3240.858,-0.34,31273533,0.537,1056.66,21.67,0.11,22.4,19,2.59,2,21031.77938,348.69,8498.28,41.9,33.4
ANGOLA,2019,2612.246,-0.36,32353588,0.537,1063.37,21.82,0.05,17.7,26,2.47,2.08,21532.38166,505.41,8240.33,39.3,32.8
ANGOLA,2020,1709.283,-0.51,33428486,0.537,1071.04,21.72,0.05,25.2,27,2.35,2.15,22773.13637,228.41,7297.33,35.5,44.6
ANGOLA,2021,2169.648,-0.71,34503774,0.537,1058.26,21.74,0.05,23.9,29,2.22,2.23,23324.3662,231.41,6662.33,35.5,43.5
TANZANIA,2012,867.857,0.05,47786137,0.569,790.46,22.77,0.06,20.6,35,2.97,2.64,33033.65759,3079.11,4649.57,21.9,51
TANZANIA,2013,970.348,-0.16,49253643,0.569,945.6,22.94,0.07,8.5,33,2.93,2.41,35424.86205,2636.88,3970.05,36,51.3
TANZANIA,2014,1030.74,-0.6,50814552,0.57,921.8,22.88,0.05,7.4,21,2.89,2.18,37422.17282,4141.58,4519.87,36.3,49.1
TANZANIA,2015,947.897,-0.42,52542823,0.569,958.79,23.03,0.06,8.4,30,3.16,2.55,38146.56378,3067.6,3734.46,41.8,55.9
TANZANIA,2016,966.29,-0.44,54401802,0.567,1079.63,23.19,0.08,7.5,32,3.44,2.92,36603.61552,2389.87,3804.25,42.6,56.5
TANZANIA,2017,1002.869,-0.56,56267032,0.563,951.35,23.26,0.01,9.1,36,3.44,2.92,36887.89495,2414.77,3443.68,40.9,51.4
TANZANIA,2018,1036.93,-0.57,58090443,0.562,1037.91,22.86,0.03,3,36,3.44,2.92,41020.17494,2765.54,1976.92,47,51.4
TANZANIA,2019,1077.739,-0.37,59872579,0.561,1145.86,23.26,0.03,2.9,37,3.44,2.92,41213.96934,3934.37,3988.49,47.5,58.3
TANZANIA,2020,1130.141,-0.47,61704518,0.56,1238.62,23.1,0.03,4.8,38,3.44,2.92,41739.45439,4515.37,3486.49,45.8,58.8
TANZANIA,2021,1170.909,-0.44,63588334,0.56,960.36,23,0.03,4.3,39,3.44,2.92,41371.87803,6565.37,3710.49,45.8,58.7
ZAMBIA,2012,1729.58,0.66,14744658,0.585,972.48,22.06,0.08,7,37,2.91,2.47,10083.77521,2499.56,1113.6,39,50.7
ZAMBIA,2013,1840.665,0.44,15234976,0.581,1103.23,21.9,0.05,6.5,38,2.91,2.47,10049.75585,1469.1,917.44,38.2,49
ZAMBIA,2014,1724.805,0.16,15737793,0.579,1010.27,21.95,0.04,7.2,38,2.91,2.47,10547.79055,1306.37,990.89,36.6,49.8
ZAMBIA,2015,1307.536,0.15,16248230,0.567,920.74,22.36,0.04,11.1,38,2.83,2.45,9376.23314,2401.66,1190.43,37.7,54.1
ZAMBIA,2016,1250.324,0.14,16767761,0.545,897.08,22.51,0.02,21.3,38,2.74,2.42,10941.69065,1883.47,1141.37,27.5,49.1
ZAMBIA,2017,1495.751,0.15,17298054,0.54,1215,22.21,0.01,5.8,37,2.9,2.45,13553.41769,1843.54,1255.75,44.4,46.3
ZAMBIA,2018,1475.2,0.09,17835893,0.537,1032.82,21.94,0.03,7.1,35,3.05,2.48,12844.96744,1175.62,1303.89,42.3,46
ZAMBIA,2019,1268.121,-0.11,18380477,0.534,1011.43,22.4,0.01,10.4,34,3.05,2.48,12313.89122,1289.1,1338.67,38.4,47.7
ZAMBIA,2020,956.832,-0.13,18927715,0.535,1035.14,22.03,0.01,16.2,33,3.05,2.48,13875.55707,1561.1,1228.67,31.3,46.1
ZAMBIA,2021,1137.344,0.06,19473125,0.54,1004.07,22.11,0.01,27.7,33,3.05,2.48,14534.63311,2305.1,1309.67,26.8,46.7
UGANDA,2012,950.574,-0.87,34273295,0.552,1383.85,22.97,0.09,13.6,29,3.7,2.93,20088.99086,2414.62,3106.73,35.3,39.7
UGANDA,2013,964.833,-0.84,35273570,0.548,1439.74,23.15,0.2,2.3,26,3.7,2.93,21109.40396,2618.89,2723.93,50.3,40
UGANDA,2014,1008.018,-0.94,36336539,0.545,1187.74,23.05,2.55,3.8,26,3.7,2.93,21591.82467,2493.34,3055.59,49.1,44.5
UGANDA,2015,839.308,-0.8,37477356,0.542,1331.1,23.08,0.61,7.4,25,3.7,2.93,22484.87145,3192.69,2931.74,44.3,45.4
UGANDA,2016,837.468,-0.72,38748299,0.539,1295.83,23.38,0.47,5.5,25,3.7,2.93,20310.36334,3435.61,3075.69,46.9,46
UGANDA,2017,838.341,-0.57,40127085,0.534,1403.16,23.3,0.65,10.1,26,3.3,2.72,22282.88536,4116.7,3834.87,41,41.1
UGANDA,2018,879.342,-0.7,41515395,0.533,1293.14,23.08,0.9,-1.2,26,2.9,2.5,23197.12424,4402.33,3658.74,52.9,39.1
UGANDA,2019,951.523,-0.69,42949080,0.53,1601.82,23.33,0.15,-0.2,28,2.9,2.5,25389.27287,3384.86,4096.64,52,39.2
UGANDA,2020,920.065,-0.81,44404611,0.53,1475.31,23.34,0.15,1.8,27,2.9,2.5,27765.38758,3782.86,4448.64,48.9,36.6
UGANDA,2021,1005.078,-0.86,45853778,0.53,1382.04,23.22,0.15,0.7,27,2.9,2.5,26192.98423,3636.86,5409.64,48.3,41
MOZAMBIQUE,2012,657.645,0.39,24487611,0.558,935.36,24.36,0.03,3.1,31,2.74,2.1,14680.0683,1116.32,3689.93,51,55.8
MOZAMBIQUE,2013,664.078,-0.23,25251731,0.554,983.55,24.36,0.2,5.4,30,2.74,2.1,13457.91928,1163.43,4622.67,47.7,55.3
MOZAMBIQUE,2014,673.969,-0.34,26038704,0.548,983.55,24.39,0.13,3.8,31,2.74,2.1,12929.58697,1427.03,4366.44,50.2,56
MOZAMBIQUE,2015,589.86,-0.51,26843246,0.54,889.04,24.78,0.02,5.2,31,2.89,2.27,11623.03086,1333.68,5089.46,49.4,48.4
MOZAMBIQUE,2016,428.927,-1.09,27696493,0.541,861.29,24.67,0.21,27.2,27,3.04,2.44,11469.70753,1171.74,4646.2,32.4,50.8
